,stationary,home,route,tom,memory,forgets,hears
0,0.5,0.5,0.0,1.0,1.0,0.5,0.5
1,0.5,0.5,0.0,0.0,1.0,0.5,0.5
2,0.0,0.0,1.0,0.992,0.985,0.5,0.5
3,0.5,0.5,0.0,0.667,0.6,0.5,1.0
4,1.0,0.0,0.0,0.0,0.0,0.5,0.5
5,0.5,0.5,0.0,0.0,1.0,0.0,0.0
6,0.0,1.0,0.0,0.0,1.0,1.0,0.5
7,0.0,0.0,1.0,0.5,0.5,0.5,0.0
8,0.0,0.0,1.0,0.5,1.0,0.5,1.0
9,0.5,0.5,0.0,0.5,1.0,0.0,0.0
10,0.333,0.333,0.333,0.5,0.5,0.5,0.5
11,1.0,0.0,0.0,0.0,0.0,0.5,1.0
12,0.0,1.0,0.0,0.0,1.0,1.0,0.0
13,0.5,0.5,0.0,0.0,1.0,0.0,1.0
14,0.005,0.995,0.0,1.0,1.0,0.989,0.5
